               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093594,            0.024181,            0.039987,           0.0040657,             0.81959,            0.063182,            0.021103,            0.050769,            0.010942,            0.028942,            0.070682,           0.0032576,           0.0032576
                   1,            0.067361,            0.019869,            0.037901,             0.15989,            0.087587,            0.090342,            0.042151,            0.055798,            0.006999,            0.028909,            0.040642,           0.0065514,           0.0065514
                   2,            0.065813,            0.018149,            0.037309,              0.2895,            0.092352,            0.091402,            0.041569,            0.043986,           0.0067068,            0.027639,            0.010563,           0.0098052,           0.0098052
                   3,            0.056095,            0.017556,            0.036538,             0.11118,             0.52417,             0.11463,             0.04999,            0.038513,           0.0069592,            0.027275,             0.00982,             0.00982,             0.00982
                   4,             0.05182,            0.016675,            0.036478,            0.099565,              0.3516,             0.10894,            0.056051,             0.03271,           0.0082226,            0.027093,             0.00982,             0.00982,             0.00982
                   5,            0.045601,            0.015993,            0.036032,             0.13973,               0.283,             0.12271,            0.057164,            0.034465,           0.0052961,             0.02708,             0.00976,             0.00976,             0.00976
                   6,             0.04194,            0.015289,            0.035971,              0.1118,             0.53483,             0.13763,            0.074767,            0.032899,           0.0049108,            0.027476,              0.0097,              0.0097,              0.0097
                   7,             0.04291,            0.015373,            0.035983,            0.090543,             0.60924,             0.11844,            0.052779,            0.032684,           0.0055719,            0.026769,             0.00964,             0.00964,             0.00964
                   8,            0.040571,            0.015018,            0.035646,              0.1169,             0.34137,             0.13856,            0.078953,            0.031694,           0.0051765,            0.026561,             0.00958,             0.00958,             0.00958
                   9,            0.039971,            0.014779,             0.03553,              0.1068,             0.22128,             0.14821,            0.082111,            0.030207,           0.0050702,            0.026866,             0.00952,             0.00952,             0.00952
                  10,            0.038028,            0.014452,            0.035135,             0.13915,             0.37783,             0.15754,             0.08677,            0.032169,           0.0050345,             0.02687,             0.00946,             0.00946,             0.00946
                  11,            0.040376,            0.014711,            0.034816,             0.13691,             0.41712,             0.15825,            0.088582,            0.031347,           0.0048864,             0.02637,              0.0094,              0.0094,              0.0094
                  12,              0.0388,            0.014494,            0.034855,             0.14398,              0.3689,             0.18069,             0.10619,            0.031136,           0.0052636,            0.026233,             0.00934,             0.00934,             0.00934
                  13,             0.03923,            0.013952,             0.03433,             0.14314,             0.41343,             0.18841,             0.10727,            0.029769,           0.0048895,            0.024921,             0.00928,             0.00928,             0.00928
                  14,            0.036894,            0.013593,             0.03449,             0.14151,             0.41339,             0.21365,             0.12367,             0.03024,           0.0049597,            0.023489,             0.00922,             0.00922,             0.00922
                  15,            0.036842,            0.013654,            0.033826,             0.12729,             0.45129,             0.18333,             0.10802,            0.032566,           0.0050221,            0.022935,             0.00916,             0.00916,             0.00916
                  16,            0.036587,             0.01388,            0.033692,              0.1305,              0.5309,             0.21343,              0.1247,            0.029878,           0.0047678,            0.023168,              0.0091,              0.0091,              0.0091
                  17,            0.036704,            0.013386,            0.033912,             0.14941,             0.45692,             0.20969,             0.12885,            0.030161,           0.0055013,            0.023093,             0.00904,             0.00904,             0.00904
                  18,            0.036316,             0.01318,            0.033633,             0.15258,             0.58719,             0.21543,             0.12918,            0.027775,           0.0044818,            0.022996,             0.00898,             0.00898,             0.00898
                  19,             0.03574,            0.013746,            0.032604,             0.14772,             0.64959,             0.32559,             0.22231,            0.029176,           0.0043413,            0.022603,             0.00892,             0.00892,             0.00892
                  20,            0.035293,            0.013505,            0.032718,             0.17651,             0.66523,             0.26632,             0.16297,            0.028057,           0.0042112,             0.02238,             0.00886,             0.00886,             0.00886
                  21,            0.034743,            0.012919,            0.031787,             0.19382,               0.558,             0.26654,               0.168,            0.030184,           0.0042551,            0.021801,              0.0088,              0.0088,              0.0088
                  22,             0.03481,            0.013837,            0.031918,             0.17544,             0.59147,             0.26693,              0.1714,            0.026588,            0.004355,            0.022174,             0.00874,             0.00874,             0.00874
                  23,            0.033916,            0.013352,            0.031628,             0.21079,             0.53454,             0.27602,               0.174,            0.027707,            0.004431,             0.02239,             0.00868,             0.00868,             0.00868
                  24,            0.033035,            0.013209,            0.031877,             0.20208,             0.44913,             0.26279,             0.16506,             0.02816,           0.0043331,             0.02182,             0.00862,             0.00862,             0.00862
                  25,            0.033484,             0.01228,            0.031455,              0.1984,             0.47678,             0.27445,             0.17722,            0.028966,           0.0045637,             0.02099,             0.00856,             0.00856,             0.00856
                  26,            0.032394,            0.013028,            0.030997,             0.21369,             0.45648,             0.29689,             0.18034,            0.029074,           0.0045129,            0.021866,              0.0085,              0.0085,              0.0085
                  27,            0.034271,             0.01295,            0.031217,             0.20962,             0.57169,             0.30875,             0.19136,            0.028416,           0.0043066,             0.02165,             0.00844,             0.00844,             0.00844
                  28,            0.034026,            0.013342,            0.030654,              0.3014,             0.54486,             0.32989,             0.21714,              0.0284,           0.0044676,            0.020835,             0.00838,             0.00838,             0.00838
                  29,            0.033142,            0.012865,            0.030214,             0.33551,             0.54783,             0.35443,             0.22437,            0.029939,           0.0042997,            0.021024,             0.00832,             0.00832,             0.00832
                  30,             0.03344,            0.012574,            0.030484,             0.29988,             0.54138,             0.34784,             0.22226,            0.028388,           0.0042887,            0.020564,             0.00826,             0.00826,             0.00826
                  31,             0.03331,            0.013198,            0.029296,             0.25853,             0.52767,             0.33378,             0.21845,             0.02644,           0.0044324,            0.020341,              0.0082,              0.0082,              0.0082
                  32,            0.033146,            0.012922,            0.029088,             0.28598,             0.58167,             0.33508,             0.20833,            0.027717,           0.0044993,            0.019588,             0.00814,             0.00814,             0.00814
                  33,            0.032439,             0.01315,            0.028857,             0.32809,              0.5789,             0.37231,             0.24272,            0.027993,           0.0043116,            0.019601,             0.00808,             0.00808,             0.00808
                  34,            0.032372,            0.012939,             0.02904,             0.34754,             0.53369,              0.3651,             0.23507,            0.028686,            0.004293,            0.020768,             0.00802,             0.00802,             0.00802
                  35,            0.033375,            0.012437,            0.028051,             0.31875,             0.59743,             0.36369,             0.22895,            0.029433,           0.0046553,            0.020008,             0.00796,             0.00796,             0.00796
                  36,            0.033463,             0.01322,            0.028012,             0.31985,              0.6252,             0.37402,             0.22413,            0.027934,           0.0042031,            0.019358,              0.0079,              0.0079,              0.0079
                  37,            0.033408,            0.013446,            0.027898,             0.32427,             0.65152,             0.38602,             0.25847,            0.026993,           0.0039053,            0.019012,             0.00784,             0.00784,             0.00784
                  38,            0.032864,            0.012613,            0.027407,             0.33328,             0.64026,             0.40001,             0.26125,            0.028714,           0.0040435,            0.019573,             0.00778,             0.00778,             0.00778
                  39,            0.031193,            0.012017,             0.02704,             0.34675,             0.67346,             0.49076,             0.34216,            0.027517,           0.0040955,            0.019504,             0.00772,             0.00772,             0.00772
                  40,            0.034375,            0.012626,            0.026838,             0.32343,             0.56537,             0.36715,             0.23216,            0.030496,             0.00442,            0.020822,             0.00766,             0.00766,             0.00766
                  41,            0.032443,            0.012933,            0.027567,             0.33108,             0.58938,             0.38832,             0.24594,            0.028409,           0.0044709,            0.019732,              0.0076,              0.0076,              0.0076
                  42,            0.029754,            0.012175,            0.025687,             0.42074,             0.58504,             0.38239,             0.24882,            0.027228,           0.0043285,            0.019371,             0.00754,             0.00754,             0.00754
                  43,            0.033456,             0.01209,            0.026438,             0.33947,             0.71635,             0.43216,             0.29058,            0.026077,           0.0040734,            0.018823,             0.00748,             0.00748,             0.00748
                  44,            0.033171,            0.013328,            0.027371,             0.31443,             0.68966,             0.39683,             0.26427,            0.027365,           0.0042462,            0.018665,             0.00742,             0.00742,             0.00742
                  45,            0.030839,            0.012246,            0.026813,             0.31068,             0.65378,             0.41234,             0.27819,            0.026095,           0.0041554,            0.019423,             0.00736,             0.00736,             0.00736
                  46,            0.030238,            0.012001,            0.026037,             0.30899,             0.70159,             0.44769,             0.30225,            0.025654,           0.0040834,            0.020027,              0.0073,              0.0073,              0.0073
                  47,            0.029952,            0.012229,            0.026027,             0.29706,             0.69638,             0.48568,             0.34079,            0.026727,           0.0041574,            0.018515,             0.00724,             0.00724,             0.00724
                  48,            0.030735,            0.011458,            0.026031,              0.3337,             0.63772,             0.49658,             0.34817,            0.026387,           0.0041645,            0.018331,             0.00718,             0.00718,             0.00718
                  49,            0.030495,            0.011776,            0.025739,             0.32081,             0.69319,             0.42985,             0.29798,            0.024947,           0.0042041,            0.018786,             0.00712,             0.00712,             0.00712
                  50,            0.030527,             0.01204,            0.026022,             0.32248,             0.70025,             0.49737,               0.346,            0.025784,            0.004142,            0.018861,             0.00706,             0.00706,             0.00706
                  51,            0.030656,            0.012497,            0.024718,             0.33172,                0.68,              0.4991,             0.34366,            0.025636,           0.0039947,            0.019369,               0.007,               0.007,               0.007
                  52,            0.029409,            0.012056,             0.02601,             0.33969,             0.71608,              0.4943,             0.35319,            0.026359,           0.0039826,            0.019001,             0.00694,             0.00694,             0.00694
                  53,            0.030833,             0.01142,            0.025331,             0.34231,              0.6978,             0.49735,             0.35387,            0.027367,           0.0041068,            0.019813,             0.00688,             0.00688,             0.00688
                  54,            0.029065,            0.011491,            0.024584,             0.33746,             0.72296,             0.50458,              0.3637,            0.025542,           0.0038831,            0.019606,             0.00682,             0.00682,             0.00682
